Service #,Service Name,Fund #,Fund,Fund- # & Name,Dept #,Dept Name,SubDept#,SubDept Name,Service Area,Type,Acct #,Acct Name,Acct Cat,AU All,budgetType,Amount,Year,PerCapita
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,41614,Excise Tax,Other,150210-41614,adopted,-400000,2014,-0.788345106
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,43201,Marriage Licenses,User Charges,150210-43201,adopted,-19000,2014,-0.03744639253
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,45102,Register of Deeds Fees,User Charges,150210-45102,adopted,-425000,2014,-0.8376166751
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,49309,Copies,Other,150210-49309,adopted,-130000,2014,-0.2562121594
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,49399,Miscellaneous,Other,150210-49399,adopted,-100,2014,-0.0001970862765
150210,ROD - High Point,100,General,100-General,150,Register of Deeds,20,High Point,General Government,Revenue,49499,Miscellaneous Refunds,Other,150210-49499,adopted,-360,2014,-0.0007095105954
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,43201,Marriage Licenses,User Charges,150510-43201,adopted,-7360,2014,-0.01450554995
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,45102,Register of Deeds Fees,User Charges,150510-45102,adopted,-183068,2014,-0.3608019046
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,47101,Appropriated Fund Balance,Fund Balance,150510-47101,adopted,0,2014,0
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,49101,Investment Earnings,Other,150510-49101,adopted,-7500,2014,-0.01478147074
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,49309,Copies,Other,150510-49309,adopted,-50800,2014,-0.1001198285
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,49399,Miscellaneous,Other,150510-49399,adopted,-100,2014,-0.0001970862765
150510,Automation Enhance & Preservtn,100,General,100-General,150,Register of Deeds,50,Automation Enhance & Preservtn,General Government,Revenue,49499,Miscellaneous Refunds,Other,150510-49499,adopted,-100,2014,-0.0001970862765
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45101,Board of Election Filing Fees,User Charges,155002-45101,adopted,-11346,2014,-0.02236140893
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45210,Board of Elections Greensboro,User Charges,155002-45210,adopted,-360000,2014,-0.7095105954
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45211,Board of Elections High Point,User Charges,155002-45211,adopted,0,2014,0
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45212,Board of Elections Jamestown,User Charges,155002-45212,adopted,-4300,2014,-0.008474709889
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45213,Board of Elections Gibsonville,User Charges,155002-45213,adopted,-2400,2014,-0.004730070636
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45216,Board of Elections Stokesdale,User Charges,155002-45216,adopted,-3400,2014,-0.006700933401
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45217,Board of Elections Whitsett,User Charges,155002-45217,adopted,-675,2014,-0.001330332366
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45250,Board of Elections Summerfield,User Charges,155002-45250,adopted,-9800,2014,-0.0193144551
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45251,Board of Elections Pleasant Garden,User Charges,155002-45251,adopted,-3700,2014,-0.00729219223
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45252,Board of Elections Sedalia,User Charges,155002-45252,adopted,-1200,2014,-0.002365035318
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45253,Board of Elections Oak Ridge,User Charges,155002-45253,adopted,-3750,2014,-0.007390735368
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,45254,Board of Elections Burlington,User Charges,155002-45254,adopted,-440,2014,-0.0008671796165
155002,Elections Administration,100,General,100-General,155,Elections,2,Administration,General Government,Revenue,49301,Board of Elections Lists,Other,155002-49301,adopted,-2100,2014,-0.004138811806
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45118,Site Plan Fees,User Charges,160110-45118,adopted,-3041,2014,-0.005993393668
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45119,Variance Fees,User Charges,160110-45119,adopted,-1000,2014,-0.001970862765
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45132,"Sale of Historic Books, Plaque",User Charges,160110-45132,adopted,-100,2014,-0.0001970862765
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45133,Sale of Maps and Ordinances,User Charges,160110-45133,adopted,-100,2014,-0.0001970862765
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45134,Rezoning Fees,User Charges,160110-45134,adopted,-6000,2014,-0.01182517659
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45135,Plat and Site Evaluation Fees,User Charges,160110-45135,adopted,-5000,2014,-0.009854313824
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45136,Road/Easement Closing Fees,User Charges,160110-45136,adopted,-200,2014,-0.000394172553
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45220,Historical Properties,User Charges,160110-45220,adopted,-5500,2014,-0.01083974521
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45245,Planning Service-Stokesdale,User Charges,160110-45245,adopted,-25000,2014,-0.04927156912
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45248,Planning Service-Whitsett,User Charges,160110-45248,adopted,-1000,2014,-0.001970862765
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45249,Planning Service-Pleasant Garden,User Charges,160110-45249,adopted,-5000,2014,-0.009854313824
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45260,Planning Service - Oak Ridge,User Charges,160110-45260,adopted,-15000,2014,-0.02956294147
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,45261,Planning Service - Sedalia,User Charges,160110-45261,adopted,-1000,2014,-0.001970862765
160110,P&D - Planning/Zoning,100,General,100-General,160,Planning and Development,10,Planning/Zoning,Community Services,Revenue,49990,Miscellaneous,Other,160110-49990,adopted,-50,2014,-0.00009854313824
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49299,Miscellaneous Rent,Other,175110-49299,adopted,-1400,2014,-0.002759207871
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49305,Property-Not Fixed Assets,Other,175110-49305,adopted,-300,2014,-0.0005912588295
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49403,Vending Commissions,Other,175110-49403,adopted,-63000,2014,-0.1241643542
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49469,Agency Providers Refunds,Other,175110-49469,adopted,0,2014,0
175110,Fac Bldgs - Administrative,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49990,Miscellaneous,Other,175110-49990,adopted,-100,2014,-0.0001970862765
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49203,Agricultural Center,Other,175120-49203,adopted,-20574,2014,-0.04054853052
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49206,High Point Health Bldg,Other,175120-49206,adopted,-78000,2014,-0.1537272957
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49218,Jonesboro School,Federal & State Funds,175120-49218,adopted,-107520,2014,-0.2119071645
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49227,SW Park Rental House,Federal & State Funds,175120-49227,adopted,-8100,2014,-0.0159639884
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49234,BB&T Building,Other,175120-49234,adopted,-114155,2014,-0.2249838389
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49236,US 220 North Rental House,Miscellaneous,175120-49236,adopted,-7200,2014,-0.01419021191
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49239,710 Huffine Mill Road,Other,175120-49239,adopted,0,2014,0
175120,Fac Bldgs - Rental,100,General,100-General,175,Facilities,10,Buildings,Support Services,Revenue,49240,325 East Russell Avenue,Other,175120-49240,adopted,0,2014,0
175230,Fac Op - Sign Shop,100,General,100-General,175,Facilities,20,Operations,Support Services,Revenue,45149,Building Fees,User Charges,175230-45149,adopted,-500,2014,-0.0009854313824
175240,Fac Op - Prison Farm,100,General,100-General,175,Facilities,20,Operations,Support Services,Revenue,49238,Prison Farm,Other,175240-49238,adopted,0,2014,0
175240,Fac Op - Prison Farm,100,General,100-General,175,Facilities,20,Operations,Support Services,Revenue,49299,Miscellaneous Rent,Other,175240-49299,adopted,0,2014,0
175410,Parking Areas,100,General,100-General,175,Facilities,40,Parking,Support Services,Revenue,49202,Parking Areas -Greensboro,Other,175410-49202,adopted,-15000,2014,-0.02956294147
175410,Parking Areas,100,General,100-General,175,Facilities,40,Parking,Support Services,Revenue,49204,Parking Areas - High Point,Other,175410-49204,adopted,-65000,2014,-0.1281060797
175410,Parking Areas,100,General,100-General,175,Facilities,40,Parking,Support Services,Revenue,49207,Parking Areas - After Hours,Miscellaneous,175410-49207,adopted,-12225,2014,-0.0240937973
175510,Court Facility Fees,100,General,100-General,175,Facilities,50,Court,Support Services,Revenue,45109,Court Facilities Fees,User Charges,175510-45109,adopted,-835000,2014,-1.645670409
175510,Court Facility Fees,100,General,100-General,175,Facilities,50,Court,Support Services,Revenue,49223,High Point Courthouse,Other,175510-49223,adopted,-4980,2014,-0.009814896569
180110,Security,100,General,100-General,180,Security,10,Security,Public Safety,Revenue,45147,Building Security Fees,User Charges,180110-45147,adopted,-5000,2014,-0.009854313824
180110,Security,100,General,100-General,180,Security,10,Security,Public Safety,Revenue,49305,Property-Not Fixed Assets,Other,180110-49305,adopted,0,2014,0
180110,Security,100,General,100-General,180,Security,10,Security,Public Safety,Revenue,49399,Miscellaneous,Other,180110-49399,adopted,0,2014,0
180110,Security,100,General,100-General,180,Security,10,Security,Public Safety,Revenue,49499,Miscellaneous Refunds,Other,180110-49499,adopted,-9899,2014,-0.01950957051
191110,Fleet Operation,100,General,100-General,191,Fleet Operation,10,Fleet Operation,Support Services,Revenue,48501,Sale of Capital Assets,Other,191110-48501,adopted,-20000,2014,-0.0394172553
195002,Internal Services Fund Level,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,2,Administration,Internal Service Fund,Revenue,45189,Insurance,User Charges,195002-45189,adopted,-135850,2014,-0.2677417066
195110,Risk Retention-Liab/Prop/WC,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,10,Liability Insurance,Internal Service Fund,Revenue,47101,Appropriated Fund Balance,Fund Balance,195110-47101,adopted,-594150,2014,-1.170988112
195110,Risk Retention-Liab/Prop/WC,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,10,Liability Insurance,Internal Service Fund,Revenue,49101,Investment Earnings,Other,195110-49101,adopted,-15000,2014,-0.02956294147
195210,Risk Retention Administration,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,20,Property and Other Ins,Internal Service Fund,Revenue,45189,Insurance,User Charges,195210-45189,adopted,-150000,2014,-0.2956294147
195210,Risk Retention Administration,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,20,Property and Other Ins,Internal Service Fund,Revenue,47101,Appropriated Fund Balance,Fund Balance,195210-47101,adopted,-333500,2014,-0.6572827321
195210,Risk Retention Administration,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,20,Property and Other Ins,Internal Service Fund,Revenue,49101,Investment Earnings,Other,195210-49101,adopted,-6500,2014,-0.01281060797
195210,Risk Retention Administration,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,20,Property and Other Ins,Internal Service Fund,Revenue,49436,Claims Refunds,Other,195210-49436,adopted,-60000,2014,-0.1182517659
195310,Liability Insurance,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,30,Workers Compensation Ins,Internal Service Fund,Revenue,45188,Workers Compensation,User Charges,195310-45188,adopted,-1585000,2014,-3.123817482
195310,Liability Insurance,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,30,Workers Compensation Ins,Internal Service Fund,Revenue,47101,Appropriated Fund Balance,Fund Balance,195310-47101,adopted,-200000,2014,-0.394172553
195310,Liability Insurance,200,Internal Services,200-Internal Services,195,Risk Retention-Liab/Prop/WC,30,Workers Compensation Ins,Internal Service Fund,Revenue,49101,Investment Earnings,Other,195310-49101,adopted,-15000,2014,-0.02956294147
197120,Medical - Choice Plus,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45185,Employee Health Self Insurance,User Charges,197120-45185,adopted,-1090458,2014,-2.149143069
197120,Medical - Choice Plus,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197120-45186,adopted,-3726402,2014,-7.344226949
197130,Old Program Runouts,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45185,Employee Health Self Insurance,User Charges,197130-45185,adopted,-4379197,2014,-8.630796307
197130,Old Program Runouts,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197130-45186,adopted,-20547513,2014,-40.49632828
197130,Old Program Runouts,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,47101,Appropriated Fund Balance,Fund Balance,197130-47101,adopted,-431040,2014,-0.8495206862
197130,Old Program Runouts,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,49101,Investment Earnings,Other,197130-49101,adopted,0,2014,0
197135,Medical - Choice Plus,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45184,Retiree Health Self Insurance,User Charges,197135-45184,adopted,-1550000,2014,-3.054837286
197135,Medical - Choice Plus,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197135-45186,adopted,-6567928,2014,-12.94448474
197136,Medical - Choice HMO,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45184,Retiree Health Self Insurance,User Charges,197136-45184,adopted,-373200,2014,-0.7355259839
197136,Medical - Choice HMO,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197136-45186,adopted,-174696,2014,-0.3443018416
197140,Medical - Retirees,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197140-45186,adopted,0,2014,0
197141,Dental - Retirees,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45184,Retiree Health Self Insurance,User Charges,197141-45184,adopted,0,2014,0
197141,Dental - Retirees,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197141-45186,adopted,0,2014,0
197170,Medicare Supplement,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45185,Employee Health Self Insurance,User Charges,197170-45185,adopted,-367024,2014,-0.7233539354
197170,Medicare Supplement,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197170-45186,adopted,-261065,2014,-0.5145232877
197180,Medicare Advantage Plan,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45185,Employee Health Self Insurance,User Charges,197180-45185,adopted,-998521,2014,-1.967947859
197180,Medicare Advantage Plan,200,Internal Services,200-Internal Services,197,Health Care & Wellness,10,Health Care Plan,Internal Service Fund,Revenue,45186,Employer Health Self Insurance,User Charges,197180-45186,adopted,-289219,2014,-0.570010958
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,44611,Health Program-Administration,Federal & State Funds,210002-44611,adopted,-228797,2014,-0.450927488
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,44613,Dept. of Health & Human Service,Federal & State Funds,210002-44613,adopted,-800,2014,-0.001576690212
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,45350,Consultation and Training Fees,User Charges,210002-45350,adopted,-12093,2014,-0.02383364342
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,45399,Miscellaneous Service Fees,User Charges,210002-45399,adopted,-2000,2014,-0.00394172553
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,49309,Copies,Other,210002-49309,adopted,0,2014,0
210002,Human Resrcs-Fiscal-Technology,100,General,100-General,210,Public Health,2,Administration,Human Services,Revenue,49990,Miscellaneous,Other,210002-49990,adopted,0,2014,0
210105,AIDS-Federal,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44129,Health Program - Aids,Federal & State Funds,210105-44129,adopted,-28000,2014,-0.05518415742
210110,AIDS-State,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44621,Health Program - Aids,Federal & State Funds,210110-44621,adopted,-25000,2014,-0.04927156912
210125,Case Management-Frail/Elderly,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44139,Federal Home & Community Care Block Grant,Federal & State Funds,210125-44139,adopted,-310467,2014,-0.61188785
210125,Case Management-Frail/Elderly,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,49507,Community,Other,210125-49507,adopted,0,2014,0
210141,U Way Univ Newborn Home Visit,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,49511,United Way,Other,210141-49511,adopted,-87000,2014,-0.1714650605
210150,Child Care Nursing-Smart Start,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44664,Smart Start,Federal & State Funds,210150-44664,adopted,-469435,2014,-0.925191962
210155,Child Fatality Prevention,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210155-44616,adopted,-4567,2014,-0.009000930247
210165,Communicable Disease Investgtn,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44619,Health-Communicable Disease,Federal & State Funds,210165-44619,adopted,-15955,2014,-0.03144511541
210170,Community Alternatives Program,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45302,Medicaid,User Charges,210170-45302,adopted,0,2014,0
210170,Community Alternatives Program,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45308,Client Fees,User Charges,210170-45308,adopted,-891924,2014,-1.757859801
210175,Community Health Response Prog,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45304,Self Pay,User Charges,210175-45304,adopted,0,2014,0
210175,Community Health Response Prog,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45308,Client Fees,User Charges,210175-45308,adopted,-17040,2014,-0.03358350151
210185,Community Servs Coord-MedMax,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45309,Patient Fees-Medicaid Maximize,User Charges,210185-45309,adopted,-208340,2014,-0.4106095484
210185,Community Servs Coord-MedMax,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210185-47101,adopted,0,2014,0
210190,Community Servcs Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44168,Department of Education,Federal & State Funds,210190-44168,adopted,-169324,2014,-0.3337143668
210190,Community Servcs Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45302,Medicaid,User Charges,210190-45302,adopted,0,2014,0
210190,Community Servcs Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45308,Client Fees,User Charges,210190-45308,adopted,-975984,2014,-1.923530525
210191,Care Coordination for Children,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45302,Medicaid,User Charges,210191-45302,adopted,0,2014,0
210225,HIV/STD Nontraditnl Test Sites,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44129,Health Program - Aids,Federal & State Funds,210225-44129,adopted,-372489,2014,-0.7341247004
210225,HIV/STD Nontraditnl Test Sites,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44619,Health-Communicable Disease,Federal & State Funds,210225-44619,adopted,0,2014,0
210235,Maternal Care Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210235-44616,adopted,-35160,2014,-0.06929553481
210235,Maternal Care Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45302,Medicaid,User Charges,210235-45302,adopted,0,2014,0
210235,Maternal Care Coordination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,45308,Client Fees,User Charges,210235-45308,adopted,-1116504,2014,-2.20047616
210240,School Nursing,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44616,"Health Program-Maternal, Child",Federal & State Funds,210240-44616,adopted,-654956,2014,-1.290828393
210240,School Nursing,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,49465,Guilford County Schools Refund,Other,210240-49465,adopted,-292011,2014,-0.5755136068
210245,Smart Start Case Management,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44664,Smart Start,Federal & State Funds,210245-44664,adopted,-498805,2014,-0.9830762014
210251,Urban Oasis Grant,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44101,Dept.. of Agriculture Food Nutrition,Federal & State Funds,210251-44101,adopted,0,2014,0
210252,Mobile Oasis Farmers Mrkt Grt,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44101,Dept.. of Agriculture Food Nutrition,Federal & State Funds,210252-44101,adopted,0,2014,0
210255,Syphillis Elimination,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44129,Health Program - Aids,Federal & State Funds,210255-44129,adopted,-66840,2014,-0.1317324672
210260,Tobacco Prevention,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44166,Health Program - Cancer,Federal & State Funds,210260-44166,adopted,-85000,2014,-0.167523335
210281,Community Transformation,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44102,U S Dept. Health & Human Services,Federal & State Funds,210281-44102,adopted,-152670,2014,-0.3008916183
210282,Healthy Communities,100,General,100-General,210,Public Health,10,Community Health,Human Services,Revenue,44613,Dept. of Health & Human Service,Federal & State Funds,210282-44613,adopted,-6285,2014,-0.01238687248
210305,Adult Administration,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45350,Consultation and Training Fees,User Charges,210305-45350,adopted,0,2014,0
210305,Adult Administration,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49325,Books and Maps,Other,210305-49325,adopted,-5000,2014,-0.009854313824
210305,Adult Administration,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49507,Community,Other,210305-49507,adopted,-52000,2014,-0.1024848638
210305,Adult Administration,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,49535,Moses Cone-Wesley Long Community Health Foundation,Other,210305-49535,adopted,0,2014,0
210320,Clinical Services-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45309,Patient Fees-Medicaid Maximize,User Charges,210320-45309,adopted,-69626,2014,-0.1372232909
210320,Clinical Services-MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210320-47101,adopted,-25000,2014,-0.04927156912
210325,Communicable Disease TB Fed,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44154,CDC-Tuberculosis Project,Federal & State Funds,210325-44154,adopted,-39133,2014,-0.07712577258
210330,Communicable Disease TB MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45309,Patient Fees-Medicaid Maximize,User Charges,210330-45309,adopted,-36000,2014,-0.07095105954
210330,Communicable Disease TB MedMax,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,47101,Appropriated Fund Balance,Fund Balance,210330-47101,adopted,0,2014,0
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44618,Health Program-Tuberculosis,Federal & State Funds,210335-44618,adopted,-80643,2014,-0.1589362859
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210335-45302,adopted,0,2014,0
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210335-45304,adopted,0,2014,0
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45305,Insurance,User Charges,210335-45305,adopted,0,2014,0
210335,Communicable Disease TB State,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45308,Client Fees,User Charges,210335-45308,adopted,-21000,2014,-0.04138811806
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,44682,Medical Evidence Fees,Federal & State Funds,210340-44682,adopted,0,2014,0
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45302,Medicaid,User Charges,210340-45302,adopted,0,2014,0
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45303,Medicare,User Charges,210340-45303,adopted,0,2014,0
210340,Communicable Diseases-Clinic,100,General,100-General,210,Public Health,30,Clinical Health,Human Services,Revenue,45304,Self Pay,User Charges,210340-45304,adopted,0,2014,0
